x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label,bisim,editex,editex_separate_substitutions,editex_separate_insertions,editex_separate_deletions,lcsubstring,lcsuf,levenshtein,levenshtein_consonant,levenshtein_separate_substitutions,levenshtein_separate_insertions,levenshtein_separate_deletions,prefix,visual_weighted,visual_weighted_separate_substitutions,visual_weighted_separate_insertions,visual_weighted_separate_deletions,aline_eng_kondrak_eng,aline_eng_kondrak_fil,aline_ph_mc_eng,aline_ph_mc_fil,len_diff,common_prefix_len,common_suffix_len,consonant_count_diff,syllable_diff,syllable_count_diff,vowel_count_diff,fil_vowel_skeleton_match,fil_penult_vowel_match,fil_onset_match,fil_coda_match,fil_phonetic_equal,n_marked,english_prominence_match
zestril,zɛstɹəl,zestɾil,zyprexa,zɪpɹɛksə,zjpɾeksaʔ,1,0.14285715,0.64285713,4,1,1,0.14285715,0.0,0.14285713,0.39999998,6,0,0,0.14285715,0.5555556,6,0,0,0.576,0.42542374,0.524,0.41525424,0,1,0,0,0,1,0,0,1,0,0,0,0,0
cardene,kɑːɹdiːn,kaɾdene,cardizem,kɑːɹdaɪzəm,kaɾdizem,1,0.5,0.8333333,2,1,0,0.5,0.0,0.625,0.6,2,1,0,0.5,0.8,2,1,0,0.6309091,0.75,0.54727274,0.722,1,4,0,1,0,1,0,0,1,1,0,0,0,0
paclitaxel,pæklɪtæksəl,paklitaksel,paclitaxel protein bound particles,pæklɪtæksəl pɹoʊtiːn baʊnd pɑːɹɾɪkəlz,paklitakselpɾotejnboundpaɾtikles,1,0.29411766,0.5,0,21,0,0.29411766,0.0,0.29411763,0.27272725,0,24,0,0.29411766,0.47500002,0,21,0,0.345,0.34158415,0.345,0.34158415,24,10,0,13,6,6,8,0,0,1,0,0,0,1
covaryx hs,kɑːvɑːɹɹɪks eɪtʃɛs,kovaɾjkshs,covera hs,kʌvɚɹə eɪtʃɛs,koveɾahs,1,0.5,0.8787879,2,0,1,0.3,0.3,0.7,0.75,2,0,1,0.3,0.8235294,2,0,1,0.727957,0.5954546,0.588172,0.51666665,1,3,3,2,1,0,1,0,0,1,1,0,0,1
tresiba,tɹɛzɪbə,tɾesiba,tevimbra,tɛvɪmbɹə,tevimbɾa,0,0.125,0.73333335,1,2,1,0.125,0.125,0.5,0.39999998,1,2,1,0.125,0.73333335,1,2,1,0.584,0.564,0.584,0.564,1,1,1,1,0,0,0,1,1,1,1,0,0,1
clonidine,klɑːnɪdiːn,klonidine,klonopin,klɑːnəpɪn,klonopin,1,0.33333334,0.8235294,3,0,1,0.33333334,0.0,0.5555556,0.6,3,0,1,0.0,0.7647059,3,0,1,0.952,0.8545455,0.88,0.84363633,1,0,0,0,1,0,1,0,0,1,1,0,0,1
quinidine,kwɪnɪdiːn,kinidine,quinine,kwɪnaɪn,kinine,1,0.7777778,0.8666667,0,0,2,0.5555556,0.33333334,0.7777778,0.75,0,0,2,0.5555556,0.875,0,0,2,0.816,0.6666667,0.696,0.6666667,2,5,3,1,1,1,1,0,0,1,1,0,1,0
tranmep,tɹænmɛp,tɾanmep,trimpex,tɹɪmpɛks,tɾimpeks,0,0.2857143,0.7777778,4,0,0,0.2857143,0.0,0.4285714,0.6,4,0,0,0.2857143,0.7407408,4,0,0,0.6826923,0.6846154,0.6903846,0.61153847,0,2,0,0,0,0,0,0,0,1,0,0,0,1
nilotinib,naɪlətɪnɪb,nilotinib,niraparib,nɜːɹɐpæɹɪb,niɾapaɾib,1,0.33333334,0.8055556,5,0,0,0.22222222,0.22222222,0.44444442,0.39999998,5,0,0,0.22222222,0.71428573,5,0,0,0.75666666,0.7818182,0.66,0.6181818,0,2,2,0,0,0,0,0,0,1,1,0,0,1
potassium chloride 0037 in dextrose 10 and sodium chloride 045 in plastic container,pətæsiəm kloːɹaɪd ziəɹoʊziəɹoʊθɹiːsɛvən ɪn dɛkstɹoʊz tɛn ænd soʊdiəm kloːɹaɪd ziəɹoʊ foːɹɾi faɪv ɪn plæstɪk kənteɪnɚ,potasumʧloɾide0037ʔindekstɾose10ʔandsodjumʧloɾide045ʔinplastikkontaʔineɾ,potassium chloride 015 in sodium chloride 09 in plastic container,pətæsiəm kloːɹaɪd ziəɹoʊ fɪftiːn ɪn soʊdiəm kloːɹaɪd ziəɹoʊ naɪn ɪn plæstɪk kənteɪnɚ,potasumʧloɾide015ʔinsodjumʧloɾide09ʔinplastikkontaʔineɾ,0,0.72289157,0.90047395,1,0,11,0.25301206,0.25301206,0.74698794,0.7241379,3,0,18,0.24096386,0.9026549,0,0,11,0.6387205,0.73417723,0.61936027,0.7321519,18,20,21,7,4,4,4,0,1,1,1,0,0,1
